2011-01-25 16:25:03 Notice: Notice (8): Undefined variable: paginator in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/views/chains/account.ctp, line 29]
2011-01-25 16:32:32 Notice: Notice (8): Undefined index:  author in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/views/chains/index.ctp, line 98]
2011-01-25 16:32:32 Notice: Notice (8): Undefined index:  author in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/views/chains/index.ctp, line 127]
2011-01-25 16:32:32 Notice: Notice (8): Undefined index:  author in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/views/chains/index.ctp, line 157]
2011-01-25 16:32:32 Notice: Notice (8): Undefined index:  author in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/views/chains/index.ctp, line 185]
2011-01-25 16:33:59 Notice: Notice (8): Undefined index:  author in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/views/chains/index.ctp, line 48]
2011-01-25 16:33:59 Notice: Notice (8): Undefined index:  author in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/views/chains/index.ctp, line 98]
2011-01-25 16:33:59 Notice: Notice (8): Undefined index:  author in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/views/chains/index.ctp, line 127]
2011-01-25 16:33:59 Notice: Notice (8): Undefined index:  author in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/views/chains/index.ctp, line 157]
2011-01-25 16:33:59 Notice: Notice (8): Undefined index:  author in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/views/chains/index.ctp, line 185]
2011-01-25 16:33:59 Notice: Notice (8): Undefined index:  author in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/views/chains/index.ctp, line 239]
2011-01-25 16:47:52 Notice: Notice (8): Undefined index:  user in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/controllers/invitations_controller.php, line 37]
2011-01-25 16:48:13 Notice: Notice (8): Array to string conversion in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/cake/libs/model/datasources/dbo_source.php, line 749]
2011-01-25 16:48:25 Notice: Notice (8): Array to string conversion in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/cake/libs/model/datasources/dbo_source.php, line 749]
2011-01-25 16:48:50 Notice: Notice (8): Undefined index:  user in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/controllers/invitations_controller.php, line 37]
2011-01-25 16:49:51 Notice: Notice (8): Undefined index:  user in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/controllers/invitations_controller.php, line 37]
2011-01-25 16:49:51 Notice: Notice (8): Undefined index:  author in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/views/chains/view.ctp, line 31]
2011-01-25 16:52:23 Notice: Notice (8): Undefined variable: user_id in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/views/items/add.ctp, line 11]
2011-01-25 16:53:34 Notice: Notice (8): Undefined index:  user in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/controllers/invitations_controller.php, line 37]
2011-01-25 17:02:33 Notice: Notice (8): Undefined index:  User in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/views/chains/index.ctp, line 48]
2011-01-25 17:20:37 Notice: Notice (8): Undefined index:  username in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/views/chains/index.ctp, line 48]
2011-01-25 17:20:37 Notice: Notice (8): Undefined index:  username in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/views/chains/index.ctp, line 239]
2011-01-25 17:21:05 Notice: Notice (8): Undefined index:  username in [/var/www/vhosts/sinapsescopio.es/httpdocs/proyectoCadena/app/views/chains/index.ctp, line 48]
